pid,created_time,creator_user,description,end_date,start_date,status,title
1,1693386116497,1,"
리뉴얼 또는 유지보수",2023-08-31,2023-08-01,1,"웹 퍼블리싱 유지보수"
2,1693386348472,2,"프로젝트 시작을 위해 추가 인력을 구인하는 단계입니다.",2023-09-29,2023-08-01,1,"금융권 웹 퍼블리싱"
3,1693386082087,1,"브랜드런칭에 맞게 자사몰 제작이 필요합니다.",2023-08-30,2023-08-10,1,"솔루션 기반 웹 구축"
4,1693386509403,3,"통합형 전자문서 작성 및 관리 SW 구축",2023-11-15,2023-09-01,1,"통합형 전자문서 구축"
5,1693386261966,2,"조명업종의 B2B몰 구축",2023-09-30,2023-09-10,1,"B2B 쇼핑몰 웹 구축"
6,1693386663660,4,"기 개발된 앱이 있으나 전체적인 구조를 리뉴얼하고자 합니다.",2023-10-15,2023-10-01,1,"주식정보 앱 리뉴얼"
7,1693386429402,3,"기존 운영중인 WMS 를 리뉴얼하는 프로젝트",2023-10-31,2023-10-10,1,"WMS 백엔드 개발"
8,1693385857216,1,"키오스크에서 사용하는 소프트웨어입니다.
태블릿 PC (내장형 카메라) 프린터 간 사진 인쇄기능",2023-11-15,2023-11-01,1,"KIOSK Image Print"
9,1693386602641,4,"SNS로그인 서비스 제공을 통한 회원가입 편의성 제공",2023-11-30,2023-11-10,1,"간편 로그인 연동"
10,1693386208244,2,"템플릿의 제품 소개 텍스트를 바꾸고, 이미지 교체",2023-12-15,2023-12-01,1,"카페24 템플릿 개발"
